fixture_id,timestep,tau,is_post_migration,jaccard,lsh_match,cosine,euclidean,b,r,n_steps,L,invariant_ratio,perturbation_magnitude,entropy_start,entropy_growth_rate,coord_start,coord_slope,seed
hmap_ir8_pm5_0004,2,8,False,0.5,True,0.9764340161243366,0.31970253762726253,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,3,8,False,0.40625,True,0.970975687571748,0.2823433123437644,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,4,8,False,0.3125,True,0.9509900102771414,0.19138912700378874,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,5,8,False,0.28125,True,0.9386933189235799,0.15476629897521843,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,6,8,False,0.28125,True,0.926675474346698,0.12110159019775343,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,7,8,False,0.21875,True,0.9224796245675341,0.10769921443888632,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,8,8,True,0.03125,False,0.914959452610088,0.09906134621991775,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,9,8,True,0.0,False,0.9024917368216681,0.08620253882583298,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,10,8,True,0.0,False,0.8921273575657543,0.07373101451209145,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,11,8,True,0.0,False,0.8912936921239085,0.06650233474305292,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir6_pm7_0000,0,8,False,1.0,True,0.9999999999999999,1.0,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,1,8,False,0.90625,True,0.9897469231514394,0.46620207195199226,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,2,8,False,0.625,True,0.9808821406259165,0.35289796054122713,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,3,8,False,0.5625,True,0.973173105181087,0.2866483695867662,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,4,8,False,0.53125,True,0.9720430484584196,0.2815870399027869,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,5,8,False,0.5,True,0.9619418733983561,0.22260199876931797,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,6,8,False,0.46875,True,0.9486302769444603,0.1775936865829347,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,7,8,False,0.46875,True,0.9453911547674102,0.15798118637823702,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
